City_ID,City,Country,Max Temp,weather Description,Lat,Lng,Hotel Name
235,Russell,US,88.97,clear sky,32.3502,-85.1999,Macs
239,Bengkulu,ID,76.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
241,Cantagallo,CO,80.31,scattered clouds,7.376,-73.9196,Apartahotel Altamira
242,Mabaruma,GY,76.26,broken clouds,8.2,-59.7833,Monty Brooms Guest House
245,Laredo,US,76.53,overcast clouds,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
251,Kulhudhuffushi,MV,80.78,overcast clouds,6.6221,73.07,Haajy Guest House 1
252,Monywa,MM,80.65,overcast clouds,22.1167,95.1333,Monywa Hotel
254,Lac Du Bonnet,CA,82.49,scattered clouds,50.2536,-96.0612,Drifter's Inn
256,Kumluca,TR,79.48,clear sky,36.3703,30.2869,Akkol Apart
259,Manacapuru,BR,82.6,light rain,-3.2997,-60.6206,Novo Hotel
261,Les Cayes,HT,82.65,broken clouds,18.2,-73.75,Villa Orphee
263,Lazaro Cardenas,MX,82.8,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
264,Tateyama,JP,85.1,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
267,Elkton,US,80.42,broken clouds,39.6068,-75.8333,"Motel 6 Elkton, MD"
271,Dzilam Gonzalez,MX,85.46,scattered clouds,21.2833,-88.9333,posadas
280,Trinidad,BO,85.98,clear sky,-14.8333,-64.9,Hotel Piesta
281,Divnoye,RU,80.1,scattered clouds,45.9089,43.3547,Motel Manych-Gudilo
286,Kamaishi,JP,75.25,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
291,Puerto Cabezas,NI,84.16,scattered clouds,14.0351,-83.3888,Cabaña Caribe
295,Brigantine,US,77.04,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
298,Itaueira,BR,77.56,few clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
302,Goldsboro,US,78.73,clear sky,35.3849,-77.9928,Hampton Inn Goldsboro
303,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
306,Khao Yoi,TH,76.66,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
307,Rayong,TH,83.79,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
308,Taitung,TW,80.87,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
309,Hambantota,LK,77.45,broken clouds,6.1241,81.1185,Bungalow 63
310,Altamira,BR,77.4,overcast clouds,-3.2033,-52.2064,Requinte Hotel
312,Bianzhuang,CN,81.36,overcast clouds,34.8486,118.0447,Hao Shuo Business Hotel
313,Bubaque,GW,78.39,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
314,Icatu,BR,82.83,broken clouds,-2.7758,-44.0658,Hotel Guaxenduba
324,Kieta,PG,83.25,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
326,Buala,SB,83.71,light rain,-8.145,159.5921,Maringe Lagoon Lodge
332,Tuy Hoa,VN,78.04,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
337,Noumea,NC,80.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
347,Vanimo,PG,81.03,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
349,Roma,US,78.94,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
352,Minjur,IN,84.22,overcast clouds,13.2667,80.2667,Whitefield Integrated Residential Township
354,Methoni,GR,76.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
358,Umm Lajj,SA,84.58,scattered clouds,25.0213,37.2685,Moon light Furnished Units
