City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Srednekolymsk,RU,2022-08-12 14:36:19,67.45,153.6833,48.51,77,57,8.5
68,Honningsvag,NO,2022-08-12 14:36:19,70.9821,25.9704,51.55,82,100,39.12
69,Miraflores,MX,2022-08-12 14:36:19,19.2167,-98.8083,61.97,89,100,2.91
70,Tilichiki,RU,2022-08-12 14:33:16,60.4667,166.1,52.83,96,85,2.26
71,Massa Marittima,IT,2022-08-12 14:36:20,43.049,10.8928,84.96,26,41,9.64
72,Mount Gambier,AU,2022-08-12 14:36:20,-37.8333,140.7667,46.36,96,66,3.94
73,Port Elizabeth,ZA,2022-08-12 14:31:53,-33.918,25.5701,61.09,73,20,27.63
74,Znamenka,RU,2022-08-12 14:36:20,52.4167,41.4311,88.32,36,29,6.89
75,Methala,IN,2022-08-12 14:36:21,10.2166,76.2166,80.6,89,89,3.8
76,Mahebourg,MU,2022-08-12 14:36:21,-20.4081,57.7,69.26,77,75,16.11
77,Hilo,US,2022-08-12 14:33:54,19.7297,-155.09,81.28,96,100,8.05
78,Mar Del Plata,AR,2022-08-12 14:36:21,-38.0023,-57.5575,55.94,75,0,12.66
79,Fairlie,GB,2022-08-12 14:36:22,55.756,-4.8556,84.22,57,0,3.58
80,Nelson Bay,AU,2022-08-12 14:36:22,-32.7167,152.15,57.99,96,100,7.0
81,Lebu,CL,2022-08-12 14:36:23,-37.6167,-73.65,51.37,84,100,18.86
82,Puerto Ayora,EC,2022-08-12 14:36:23,-0.7393,-90.3518,75.16,94,100,8.01
83,Mana,GF,2022-08-12 14:36:23,5.6592,-53.7767,87.51,57,2,5.08
84,Bethel,US,2022-08-12 14:36:23,41.3712,-73.414,75.88,57,0,13.8
85,Muli,MV,2022-08-12 14:36:24,2.9167,73.5667,81.7,77,17,4.72
86,Port Alfred,ZA,2022-08-12 14:34:21,-33.5906,26.891,59.18,83,100,7.0
87,High Level,CA,2022-08-12 14:36:24,58.5169,-117.136,48.31,100,40,2.3
88,Atuona,PF,2022-08-12 14:36:25,-9.8,-139.0333,76.23,71,68,21.43
89,Kimberley,ZA,2022-08-12 14:36:25,-28.7323,24.7623,74.89,15,0,8.05
90,Northam,GB,2022-08-12 14:36:25,51.0333,-4.2167,87.66,28,0,11.65
91,Butaritari,KI,2022-08-12 14:35:12,3.0707,172.7902,81.0,79,66,15.7
92,Akureyri,IS,2022-08-12 14:36:23,65.6835,-18.0878,53.53,76,75,8.05
93,Avarua,CK,2022-08-12 14:32:07,-21.2078,-159.775,75.25,88,75,6.91
94,Fairbanks,US,2022-08-12 14:35:13,64.8378,-147.7164,57.31,78,100,4.61
95,Nuuk,GL,2022-08-12 14:32:02,64.1835,-51.7216,52.41,58,20,10.36
96,Carnarvon,AU,2022-08-12 14:36:26,-24.8667,113.6333,69.35,71,46,11.01
97,Edgewater,US,2022-08-12 14:36:26,28.9889,-80.9023,85.15,83,75,0.0
98,Vaxjo,SE,2022-08-12 14:36:27,56.8777,14.8091,85.57,35,0,5.75
99,Namatanai,PG,2022-08-12 14:36:27,-3.6667,152.4333,78.76,81,100,5.37
100,Sassandra,CI,2022-08-12 14:36:27,4.95,-6.0833,79.27,72,99,11.52
101,Evensk,RU,2022-08-12 14:36:28,61.95,159.2333,52.88,95,100,2.75
102,Saint-Louis,SN,2022-08-12 14:36:28,16.3333,-15.0,97.74,36,32,10.78
103,Beaverlodge,CA,2022-08-12 14:36:28,55.2166,-119.4361,54.75,73,18,3.56
104,Bredasdorp,ZA,2022-08-12 14:33:26,-34.5322,20.0403,56.95,58,52,12.64
105,Saskylakh,RU,2022-08-12 14:36:29,71.9167,114.0833,47.3,58,100,3.22
106,Kudahuvadhoo,MV,2022-08-12 14:36:29,2.6708,72.8944,81.88,78,14,5.17
107,Atambua,ID,2022-08-12 14:36:29,-9.1061,124.8925,71.46,85,13,5.39
108,Sile,TR,2022-08-12 14:36:30,41.1754,29.6133,83.07,73,13,12.55
109,Bereda,ES,2022-08-12 14:36:30,43.2686,-7.5406,94.41,39,4,5.86
110,Tuktoyaktuk,CA,2022-08-12 14:35:02,69.4541,-133.0374,48.2,93,75,5.75
111,Katherine,AU,2022-08-12 14:36:31,-14.4667,132.2667,71.92,60,40,4.61
112,Esperance,AU,2022-08-12 14:36:31,-33.8667,121.9,49.17,74,5,15.21
113,Opuwo,NA,2022-08-12 14:36:31,-18.0607,13.84,88.48,6,0,7.45
114,Changji,CN,2022-08-12 14:36:31,44.0167,87.3167,70.59,83,40,6.71
115,Anloga,GH,2022-08-12 14:36:32,5.7947,0.8973,78.01,75,59,18.52
116,Rundu,NA,2022-08-12 14:36:32,-17.9333,19.7667,87.33,7,11,5.32
117,Faya,SA,2022-08-12 14:36:32,18.3851,42.4509,77.11,58,97,0.65
118,Mamallapuram,IN,2022-08-12 14:36:33,12.6264,80.1722,93.25,74,86,7.81
119,Tasiilaq,GL,2022-08-12 14:36:33,65.6145,-37.6368,41.16,64,20,1.45
120,Port Macquarie,AU,2022-08-12 14:36:33,-31.4333,152.9167,53.49,100,100,0.0
121,Clyde River,CA,2022-08-12 14:36:34,70.4692,-68.5914,55.63,62,100,25.32
122,Shingu,JP,2022-08-12 14:36:34,33.7333,135.9833,78.94,93,99,9.37
123,Hamilton,US,2022-08-12 14:33:38,39.1834,-84.5333,72.63,61,0,10.36
124,Barrow,US,2022-08-12 14:32:01,71.2906,-156.7887,51.82,82,100,17.27
125,Qingquan,CN,2022-08-12 14:36:34,30.4511,115.2559,85.37,63,36,4.7
126,Zhigansk,RU,2022-08-12 14:36:35,66.7697,123.3711,48.15,78,100,19.93
127,Trinidad,BO,2022-08-12 14:36:05,-14.8333,-64.9,75.18,53,1,0.0
128,Klaksvik,FO,2022-08-12 14:36:35,62.2266,-6.589,54.52,80,100,14.99
129,Qaanaaq,GL,2022-08-12 14:32:09,77.484,-69.3632,37.8,90,100,19.91
130,Merritt,CA,2022-08-12 14:36:36,50.1123,-120.7942,66.13,81,1,1.7
131,Yulara,AU,2022-08-12 14:36:36,-25.2406,130.9889,47.03,44,0,8.81
132,Port Blair,IN,2022-08-12 14:36:36,11.6667,92.75,82.44,78,40,5.75
133,Tarrafal,CV,2022-08-12 14:36:36,15.2833,-23.7667,86.79,78,79,13.91
134,Port Lincoln,AU,2022-08-12 14:36:02,-34.7333,135.8667,51.28,70,20,17.0
135,Port Hardy,CA,2022-08-12 14:36:37,50.6996,-127.4199,53.78,100,100,2.3
136,Defiance,US,2022-08-12 14:36:37,41.3334,-84.45,70.9,68,0,6.91
137,Nanortalik,GL,2022-08-12 14:36:38,60.1432,-45.2371,46.35,83,100,1.74
138,Guarapari,BR,2022-08-12 14:36:32,-20.6667,-40.4975,72.9,65,96,12.66
139,Muros,ES,2022-08-12 14:36:38,42.7762,-9.0603,67.84,79,69,5.1
140,Katsuura,JP,2022-08-12 14:36:38,35.1333,140.3,80.87,87,100,20.24
141,Sao Joao Da Barra,BR,2022-08-12 14:36:39,-21.6403,-41.0511,73.49,59,55,13.8
142,Cabo San Lucas,MX,2022-08-12 14:36:39,22.8909,-109.9124,85.51,69,65,3.65
143,Snezhnogorsk,RU,2022-08-12 14:36:39,69.1933,33.2531,56.98,78,100,31.32
144,Dondo,MZ,2022-08-12 14:36:40,-19.6094,34.7431,76.51,59,0,10.04
145,Isangel,VU,2022-08-12 14:36:40,-19.55,169.2667,71.42,62,21,16.31
146,Axim,GH,2022-08-12 14:36:40,4.8699,-2.2405,80.19,69,91,12.03
147,Khatanga,RU,2022-08-12 14:36:41,71.9667,102.5,47.19,56,47,8.16
148,Kota Tinggi,MY,2022-08-12 14:36:41,1.7381,103.8999,84.18,87,57,2.46
149,Peremyshlyany,UA,2022-08-12 14:36:41,49.6652,24.5585,63.12,97,100,8.05
150,Marsh Harbour,BS,2022-08-12 14:35:31,26.5412,-77.0636,83.12,68,2,8.9
151,Asfi,MA,2022-08-12 14:36:42,32.2994,-9.2372,76.48,74,40,22.82
152,Hofn,IS,2022-08-12 14:35:14,64.2539,-15.2082,51.33,88,79,7.16
153,Lundin Links,GB,2022-08-12 14:36:42,56.2124,-2.953,75.94,80,100,11.5
154,Caravelas,BR,2022-08-12 14:36:29,-17.7125,-39.2481,76.57,64,99,12.73
155,Bud,US,2022-08-12 14:36:42,39.447,-86.1758,72.05,65,93,9.26
156,Taree,AU,2022-08-12 14:36:43,-31.9,152.4667,54.1,100,100,0.0
157,Necochea,AR,2022-08-12 14:36:43,-38.5473,-58.7368,59.88,60,6,13.76
158,Souillac,MU,2022-08-12 14:36:43,-20.5167,57.5167,68.38,77,75,16.11
159,Tiksi,RU,2022-08-12 14:36:44,71.6872,128.8694,38.59,89,84,4.03
160,Verkhnyaya Inta,RU,2022-08-12 14:36:44,65.9811,60.3094,57.81,79,100,10.65
161,Maniitsoq,GL,2022-08-12 14:36:44,65.4167,-52.9,45.3,76,85,4.36
162,Burgeo,CA,2022-08-12 14:36:45,47.6167,-57.6152,62.46,91,100,14.43
163,Antalaha,MG,2022-08-12 14:36:45,-14.9003,50.2788,70.7,77,33,10.89
164,Ballina,AU,2022-08-12 14:36:45,-28.8667,153.5667,60.01,99,100,13.22
165,Hithadhoo,MV,2022-08-12 14:31:58,-0.6,73.0833,82.56,77,100,13.27
166,Coelho Neto,BR,2022-08-12 14:36:46,-4.2567,-43.0128,95.86,33,4,3.44
167,Cayenne,GF,2022-08-12 14:36:46,4.9333,-52.3333,89.64,22,40,8.05
168,Kizhinga,RU,2022-08-12 14:36:46,51.8462,109.9097,55.08,66,14,2.24
169,Lata,PT,2022-08-12 14:36:47,40.1629,-8.3327,85.5,47,0,12.28
170,Sabang,ID,2022-08-12 14:36:47,5.8933,95.3214,83.23,73,14,19.57
171,Mahroni,IN,2022-08-12 14:36:47,24.5862,78.7288,77.4,90,99,6.71
